city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,forecast_mu,forecast_sigma,forecast_nu,sigma_boost,sigma_source,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,ema_momentum,total_drift,last_delta,forecast_var,volume_recency,market_mkt_mom,hours_since_move,is_stale,pmf_consistency,pmf_sum_dev,liquidity,volume_24h,n_exact_bins,market_mode_c,mode_shift_c,alpha_score,kelly,ev_per_dollar,group_key,bin_temp_c
London,london,0xf6a0cfe4bd8d2b3cf3b476ad5efaf7599e3d3379001ab25b2cbb43ae06354f7a,Will the highest temperature in London be 15°C on March 24?,2026-03-24,2026-03-22 12:02:06.707871+00:00,1.5,14.0,1.2,8.0,0.0,nwp_table,0.2206,0.5826,0.365,-0.1444,0.1444,No,0.7794,0.635,0.0232,3.0,0.2,4.091,0.718,0.125,0.0,False,1.0,0.386,891.2833,712.5964960000001,6,15.0,-1.0,0.042583,0.09890410958904107,0.2274,london|2026-03-24,14.0
London,london,0x58623aabeb345e4e988c5da194fb0e02e1b1609709fd444556150e4d708cd927,Will the highest temperature in London be 12°C on March 22?,2026-03-22,2026-03-19 07:19:07.089920+00:00,2.7,13.0,1.619,6.5,0.019,nwp_table,0.1899,0.0686,0.05,0.1399,0.1399,Yes,0.1899,0.05,0.35,1.4,0.0,0.3207,1.0,0.0,0.0,False,1.0,0.9225,1934.2607,897.2176100000001,3,12.0,1.0,0.07007,0.03681578947368421,2.7982,london|2026-03-22,13.0
London,london,0x0f00bfc47d7c6f6634aed9155702328b1720797892fdca0be65ee6ba7a6b6bc5,Will the highest temperature in London be 9°C on March 26?,2026-03-26,2026-03-24 12:02:06.135830+00:00,1.5,10.1,1.2,8.0,0.0,nwp_table,0.2057,0.3066,0.315,-0.1093,0.1093,No,0.7943,0.685,0.6745,2.1,1.6,3.7738,0.649,0.0,0.0,False,1.0,0.666,735.957,640.1989159999999,2,9.0,1.1,0.032315,0.08674603174603175,0.1596,london|2026-03-26,10.1
London,london,0x18834c5270d05a017adedc2d1d54c7d6d020d2acc780539f71636ea4d9645428,Will the highest temperature in London be 14°C on March 22?,2026-03-22,2026-03-21 06:02:02.529348+00:00,0.75,13.5,0.706,12.0,0.006,nwp_table,0.409,0.3367,0.3,0.109,0.109,Yes,0.409,0.3,1.032,1.9,2.5,0.4572,0.404,0.0,0.0,False,1.0,0.7,2500.6574,2932.094813,1,14.0,-0.5,0.129302,0.03892857142857143,0.3632,london|2026-03-22,13.5
London,london,0x18834c5270d05a017adedc2d1d54c7d6d020d2acc780539f71636ea4d9645428,Will the highest temperature in London be 14°C on March 22?,2026-03-22,2026-03-21 12:02:04.116762+00:00,0.5,13.0,0.713,12.0,0.013,nwp_table,0.2197,0.2849,0.295,-0.0753,0.0753,No,0.7803,0.705,0.266,1.4,-0.5,0.494,0.327,-0.005,6.0,True,1.0,0.215,2397.3578,2823.4731850000003,3,13.0,0.0,0.057234,0.06381355932203389,0.1068,london|2026-03-22,13.0
London,london,0xa3ad99ec37982ad5ba140618ed98dca878f1168c858d85e4b6aa574fd018bc91,Will the highest temperature in London be 13°C on March 22?,2026-03-22,2026-03-21 12:02:04.116762+00:00,0.5,13.0,0.713,12.0,0.013,nwp_table,0.5035,0.3911,0.405,0.0985,0.0985,Yes,0.5035,0.405,0.266,1.4,-0.5,0.494,0.347,0.0,0.0,False,1.0,0.215,2136.1343,2442.82787,3,13.0,0.0,0.12157,0.04138655462184871,0.2432,london|2026-03-22,13.0
London,london,0x72e894f44528719404cf735653db94262e863b17148c238cf7ef04df08f25bb2,Will the highest temperature in London be 8°C on March 26?,2026-03-26,2026-03-24 06:02:01.208285+00:00,1.75,8.5,1.2,8.0,0.0,nwp_table,0.2856,0.6032,0.2,0.0856,0.0856,Yes,0.2856,0.2,-0.2511,0.5,0.0,3.9018,0.805,0.0,0.0,False,0.969,0.7665,983.798,588.9068599999999,2,8.0,0.5,0.025172,0.02675000000000001,0.4279,london|2026-03-26,8.5
London,london,0xee47a256269c21a757864e8c94b36ce4f09b37a2d8aa793a20eed11e645869b7,Will the highest temperature in London be 7°C on March 26?,2026-03-26,2026-03-24 06:02:01.208285+00:00,1.75,8.5,1.2,8.0,0.0,nwp_table,0.1473,0.101,0.0335,0.1138,0.1138,Yes,0.1473,0.0335,-0.2511,0.5,0.0,3.9018,0.632,0.0,0.0,False,0.969,0.7665,999.47687,457.946442,2,8.0,0.5,0.030485,0.029436109674081733,3.3984,london|2026-03-26,8.5
London,london,0x7d9a0bf25ce022c72ea60168987a7d115534bf827d0bd793f3d7ea1097fabebc,Will the highest temperature in London be 18°C on March 18?,2026-03-18,2026-03-17 23:10:24.292361+00:00,0.03,17.9,0.7,12.0,0.0,nwp_table,0.5068,0.4302,0.41,0.0968,0.0968,Yes,0.5068,0.41,0.1,0.2,0.2,0.008,0.768,-0.025,0.0,False,1.0,0.0815,827.0287,6349.089395,4,18.0,-0.1,0.148907,0.04101694915254237,0.2361,london|2026-03-18,17.9
London,london,0x7d9a0bf25ce022c72ea60168987a7d115534bf827d0bd793f3d7ea1097fabebc,Will the highest temperature in London be 18°C on March 18?,2026-03-18,2026-03-17 23:20:41.011012+00:00,0.03,17.9,0.7,12.0,0.0,nwp_table,0.5068,0.4483,0.405,0.1018,0.1018,Yes,0.5068,0.405,0.05,0.2,0.0,0.0107,0.768,-0.03,0.17,False,1.0,0.131,1053.5245,6393.103039,4,18.0,-0.1,0.161566,0.04277310924369748,0.2513,london|2026-03-18,17.9
