fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100
2026-08-11T06:05:38.947518+00:00,London,0x9a55338b3d323cbdd4e33c06d35a447a707bf8c0287ec635b3d4696525cbda29,Will the lowest temperature in London be 18°C on August 12?,True,False,2026-08-12,2026-08-10,514.7038869999999,506.643704,2991.0166,,"{""Yes"": 0.465, ""No"": 0.535}","[""30972510507919265233883216188463495422388635656255583433106660123509161359366"", ""83294657593208284623021270285026915817790461145969306823072102459135857324011""]",1786428673892,0.45,0.52,0.48,0.55,8003.44,4283.05,0.484963,0.55
2026-08-11T06:05:38.947525+00:00,London,0x3f26c2b97d289252944dd597880f0f9e7f78b27f544d10865a5951b7a5aa1567,Will the lowest temperature in London be 19°C on August 12?,True,False,2026-08-12,2026-08-10,349.947798,349.94779800000003,1573.2925,,"{""Yes"": 0.15, ""No"": 0.85}","[""55953999247274023891180417850512577007498212010909101490070545732084181426854"", ""58157363992010194278579286646315237185776811342629291445626230101656916175200""]",1786428673687,0.12,0.85,0.15,0.88,5598.65,2881.11,0.242222,0.919225
2026-08-11T06:05:38.947533+00:00,London,0xd6d77450454899c5b989c5e48e66c4db47a403a9511445a9873aacdb63eaaadb,Will the lowest temperature in London be 20°C on August 12?,True,False,2026-08-12,2026-08-10,179.89010000000002,168.99009999999998,1975.02112,,"{""Yes"": 0.0055, ""No"": 0.9945}","[""1234209288657642954716487859822842486681292852365756151003710836778929205518"", ""19716780959316724993553497166312591167517887342356377315060508114490206554692""]",1786428669237,0.002,0.991,0.009,0.998,23799.23,379.48,0.134163,0.998
2026-08-11T06:05:38.947541+00:00,London,0xc3551ff8b03f6a72c27874be24af00f1478c1539afc8e11322966043b2882a03,Will the lowest temperature in London be 21°C on August 12?,True,False,2026-08-12,2026-08-10,69.00019999999999,55.9898,2500.70349,,"{""Yes"": 0.005, ""No"": 0.995}","[""99957477035987935206713224296969044942889521151240561856106549672197028282331"", ""38807465416118502734834756272407551744855057145741717625322527311174022717986""]",1786428673447,0.001,0.991,0.009,0.999,23858.06,215.78,0.084973,0.999
2026-08-11T06:05:38.947548+00:00,London,0xdd297d38dfe2369afe947fef6f37645996e1f107b8e492e2e849f842d55c27cc,Will the lowest temperature in London be 22°C or higher on August 12?,True,False,2026-08-12,2026-08-10,51.0,51.0,2915.76728,,"{""Yes"": 0.0035, ""No"": 0.9965}","[""27853227088790481199053865620089020803020399622062478203864542076671512700078"", ""70014778160571964087665762827067187825948395617422661882784389873737701088432""]",1786428672395,0.001,0.994,0.006,0.999,19990.18,215.78,0.07525,0.999
2026-08-11T06:05:38.947556+00:00,London,0x9fe45f40521eaca8ba288193c6ded366118f34365e9218a47fd4da8f96d93875,Will the lowest temperature in London be 14°C or below on August 13?,True,False,2026-08-13,2026-08-11,12.0,12.0,68.275,,"{""Yes"": 0.025, ""No"": 0.975}","[""63534555221243132452046973074259089550936812515180447553463923593106818205142"", ""106495170845615484246551774391867084440204617201854370432854368911756836796861""]",1786428656539,,0.95,0.05,,2160.46,0.0,0.439814,
2026-08-11T06:05:38.947563+00:00,London,0x6afab1064e24a54f7bcf34b06e7047400de5727d21b0211db04d4ca0bb128579,Will the lowest temperature in London be 15°C on August 13?,True,False,2026-08-13,2026-08-11,12.0,12.0,823.1252,,"{""Yes"": 0.035, ""No"": 0.965}","[""92754649830419078275597772547363984223819038077348827230303280724642672451365"", ""21568681471732971812046897733862140702541568560984257207221402381605730203393""]",1786428668862,,0.93,0.07,,11935.47,0.0,0.309098,
2026-08-11T06:05:38.947571+00:00,London,0xa2c3b47a488f23c2c8750e2ef05479939092050620e7f4b4644e2debb852bc6f,Will the lowest temperature in London be 16°C on August 13?,True,False,2026-08-13,2026-08-11,22.0408,22.0408,796.3953,,"{""Yes"": 0.06, ""No"": 0.94}","[""110316094578315540900740065633187220237640170233972365862589901750404391608207"", ""96663690066510943965977282831468887981022298736832867328247490105970866796704""]",1786428606332,,0.89,0.11,,12077.46,0.0,0.39053,
2026-08-11T06:05:38.947578+00:00,London,0x65c1b3c704891704bacf3e7cd21814cf5b94020d064953a133e3c5c959064be0,Will the lowest temperature in London be 17°C on August 13?,True,False,2026-08-13,2026-08-11,0.0,0.0,834.6303,,"{""Yes"": 0.105, ""No"": 0.895}","[""57497149775375808215063613286467043490354621165841646553908223128340112963699"", ""89516702255219112318737599033471099790903515157697408189515144651365965970528""]",1786428673914,0.03,0.9,0.1,0.97,12085.76,1834.58,0.390315,0.97
2026-08-11T06:05:38.947585+00:00,London,0x049b25bcf9a63d9f677c7db238b9a8ec880f615bc71583d3b0a6af6867dadab8,Will the lowest temperature in London be 18°C on August 13?,True,False,2026-08-13,2026-08-11,0.0,0.0,1042.0132,,"{""Yes"": 0.165, ""No"": 0.835}","[""37939806696863571694275922047497032253821276502739968578019759144950447705502"", ""32040561311819751416940321357828717828226117287544583221829343087434678263538""]",1786428673915,0.13,0.8,0.2,0.87,12225.48,1741.47,0.369928,0.882586
2026-08-11T06:05:38.947591+00:00,London,0x64e41df1510a8126a4cf205af09b5a267acdd91683ae32220ef0358d453a8ece,Will the lowest temperature in London be 19°C on August 13?,True,False,2026-08-13,2026-08-11,0.0,0.0,961.3824,,"{""Yes"": 0.305, ""No"": 0.695}","[""23471589214362822412199713635414932389104383811865018481451979324477331626441"", ""4293856860262556628692741590425743829300483955574023209167484116948899095914""]",1786428673909,0.27,0.7,0.3,0.73,12331.99,2777.86,0.463466,0.746072
